galname,rah,ram,ras,decsign,decd,decm,decs,glat_orig,semimajor,semiminor,posang,nhcon,fnu_12,fqual_12,fnu_25,fqual_25,fnu_60,fqual_60,fnu_100,fqual_100,fir,fqfir,relunc_12,relunc_25,relunc_60,relunc_100,cc_12,cc_25,cc_60,cc_100,cirr1,cirr2,confuse,pnearh,pnearw,hsdflag,ses1_12,ses1_25,ses1_60,ses1_100,ses2,nsss,sssname,dissss,nongal,idngal,dsngal,nrecs,rat_12_25,err_12_25,rat_25_60,err_25_60,rat_60_100,err_60_100,glon,glat,elon,elat,ra,dec,cra,cdec,ra1950,dec1950,cra1950,cdec1950,ROW_IDX,ROW_NUM
23190+0110,23,19,5.2,+,1,10,16,-54,51,8,67,2,0.26,L,0.46,L,1.18,,2.35,,-13.17,,,,C,E,,F,B,B,1,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.5652,0,0.3898,0,0.5021,0,82.2286,-54.1728,351.7596,5.1281,350.4113,1.4454,232138.7,+012643,349.7717,1.1711,231905.2,+011016,62,62
23192+2648,23,19,14.3,+,26,48,28,-32,66,19,60,2,0.25,L,0.25,L,0.48,:,1.91,,-13.40,:,,,D,C,I,,F,B,1,5,0,0,0,0,0,0,1,0,,null,,null,null,,null,2,1.0000,0,0.5208,0,0.2513,0,99.4058,-31.6578,2.9487,28.4639,350.4260,27.0820,232142.2,+270455,349.8096,26.8078,231914.3,+264828,63,63
23192-4245,23,19,16.7,-,42,45,19,-66,21,6,66,3,0.28,:,0.60,,4.32,,7.27,,-12.63,,C,C,C,C,D,A,A,A,1,1,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.4667,0,0.1389,0,0.5942,0,346.9755,-66.2033,332.4000,-34.8352,350.5041,-42.4809,232201.0,-422851,349.8196,-42.7553,231916.7,-424519,64,64
23194-4251,23,19,27.9,-,42,51,51,-66,50,13,67,3,0.25,L,0.27,L,1.21,:,1.51,,-13.23,:,,,C,D,E,G,A,C,1,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,0.9259,0,0.2231,0,0.8013,0,346.7031,-66.1726,332.3733,-34.9472,350.5507,-42.5897,232212.2,-423523,349.8662,-42.8642,231927.9,-425151,65,65
23197+4034,23,19,43.9,+,40,34,29,-19,27,10,58,2,0.25,L,0.25,L,1.71,,7.57,,-12.82,,,,D,D,,,D,B,1,3,0,0,0,0,0,0,2,1,4,1,X2319+405,24,null,,null,1,1.0000,0,0.1462,0,0.2259,0,105.2460,-18.9356,11.0728,40.5106,350.5330,40.8490,232207.9,+405057,349.9329,40.5747,231943.9,+403429,66,66
23199+4952,23,19,58.1,+,49,52,44,-10,86,13,15,2,0.45,L,0.25,L,0.45,,1.48,L,-13.48,L,,,C,,,,B,F,9,5,0,0,1,0,0,0,1,1,,null,,null,null,,null,1,1.8000,0,0.5556,0,0.3041,0,108.6392,-10.2286,18.3083,48.2569,350.5768,50.1532,232218.4,+500912,349.9921,49.8789,231958.1,+495244,67,67
23200+1103,23,20,2.2,+,11,3,24,-46,74,15,66,2,0.35,L,0.34,L,0.52,:,1.17,:,-13.50,:,,,C,C,,J,C,B,2,6,0,0,1,0,0,0,0,0,,null,,null,null,,null,2,1.0294,0,0.6538,0,0.4444,0,90.7310,-45.9104,355.9706,14.1047,350.6406,11.3311,232233.7,+111952,350.0092,11.0567,232002.2,+110324,68,68
23202+2256,23,20,15.8,+,22,56,7,-35,88,18,62,2,0.80,L,0.25,L,0.41,,1.83,L,-13.44,L,,,C,,,H,E,D,1,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,3.2000,0,0.6098,0,0.2240,0,97.7834,-35.2938,1.2820,24.8815,350.6867,23.2097,232244.8,+231235,350.0658,22.9353,232015.8,+225607,69,69
23202+0109,23,20,17.2,+,1,9,45,-54,55,22,67,2,0.25,L,0.70,L,0.80,L,1.51,,-13.35,L,,,,D,,,B,E,1,3,0,1,0,0,0,0,1,0,,null,,null,null,,null,2,0.3571,0,0.8750,0,0.5298,0,82.6393,-54.3530,352.0331,5.0022,350.7113,1.4370,232250.7,+012613,350.0717,1.1625,232017.2,+010945,70,70
23203+2239,23,20,22.2,+,22,39,55,-36,24,18,62,2,0.25,L,0.25,L,0.38,,1.41,L,-13.52,L,,,C,,,,E,B,1,4,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.6579,0,0.2695,0,97.6747,-35.5500,1.1781,24.6273,350.7137,22.9397,232251.3,+225623,350.0925,22.6653,232022.2,+223955,71,71
